,Title,Genre,Premiere,Runtime,IMDB Score,Language
0,Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese
1,Dark Forces,Thriller,2020-08-21,81,2.6,Spanish
2,The App,Science fiction/Drama,2019-12-26,79,2.6,Italian
3,The Open House,Horror thriller,2018-01-19,94,3.2,English
4,Kaali Khuhi,Mystery,2020-10-30,90,3.4,Hindi
5,Drive,Action,2019-11-01,147,3.5,Hindi
6,Leyla Everlasting,Comedy,2020-12-04,112,3.7,Turkish
7,The Last Days of American Crime,Heist film/Thriller,2020-06-05,149,3.7,English
8,Paradox,Musical/Western/Fantasy,2018-03-23,73,3.9,English
9,Sardar Ka Grandson,Comedy,2021-05-18,139,4.1,Hindi
10,Searching for Sheela,Documentary,2021-04-22,58,4.1,English
11,The Call,Drama,2020-11-27,112,4.1,Korean
12,Whipped,Romantic comedy,2020-09-18,97,4.1,Indonesian
13,All Because of You,Action comedy,2020-10-01,101,4.2,Malay
14,Mercy,Thriller,2016-11-22,90,4.2,English
15,After the Raid,Documentary,2019-12-19,25,4.3,Spanish
16,Ghost Stories,Horror anthology,2020-01-01,144,4.3,Hindi
17,The Last Thing He Wanted,Political thriller,2020-02-21,115,4.3,English
18,What Happened to Mr. Cha?,Comedy,2021-01-01,102,4.3,Korean
19,Death Note,Horror thriller,2017-08-25,100,4.4,English
20,"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English
21,Secret Obsession,Thriller,2019-07-18,97,4.4,English
22,Sextuplets,Comedy,2019-08-16,99,4.4,English
23,The Girl on the Train,Thriller,2021-02-26,120,4.4,Hindi
24,Thunder Force,Superhero-Comedy,2021-04-09,105,4.4,English
25,Fatal Affair,Thriller,2020-07-16,89,4.5,English
26,Just Say Yes,Romantic comedy,2021-04-02,97,4.5,Dutch
27,Seriously Single,Comedy,2020-07-31,107,4.5,English
28,The Misadventures of Hedi and Cokeman,Comedy,2021-02-10,99,4.5,French
29,5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian
30,After Maria,Documentary,2019-05-24,37,4.6,English/Spanish
31,I Am the Pretty Thing That Lives in the House,Horror,2016-10-28,89,4.6,English
32,Paris Is Us,Romance drama,2019-02-22,83,4.6,French
33,Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese
34,Rattlesnake,Horror,2019-10-25,85,4.6,English
35,The Players,Comedy,2020-07-15,88,4.6,Italian
36,We Are One,Documentary,2020-07-14,86,4.6,French
37,Finding Agnes,Drama,2020-11-30,105,4.7,Filipino
38,IO,Science fiction/Drama,2019-01-18,95,4.7,English
39,Sentinelle,Action,2021-03-05,80,4.7,French
40,Sol Levante,Anime / Short,2020-04-02,4,4.7,English
41,The Binding,Drama,2020-10-02,93,4.7,Italian
42,We Can Be Heroes,Superhero,2020-12-25,100,4.7,English
43,Christmas Crossfire,Thriller,2020-12-04,106,4.8,German
44,Coin Heist,Heist,2017-01-06,97,4.8,English
45,Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi
46,Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish
47,Take the 10,Comedy,2017-01-20,80,4.8,English
48,The Main Event,Comedy,2020-04-10,101,4.8,English
49,The Ridiculous 6,Western,2015-12-11,119,4.8,English
50,Earth and Blood,Action,2020-04-17,80,4.9,French
51,Fearless,Animation/Superhero,2020-08-14,89,4.9,English
52,Holiday Rush,Family film,2019-11-28,94,4.9,English
53,The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish
54,Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese
55,How It Ends,Action-thriller,2018-07-13,113,5.0,English
56,Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian
57,Rebirth,Thriller,2016-07-15,100,5.0,English
58,Squared Love,Romantic comedy,2021-02-11,102,5.0,Polish
59,Cadaver,Horror,2020-10-22,86,5.1,Norwegian
60,Clinical,Thriller,2017-01-13,104,5.1,English
61,Coffee & Kareem,Action comedy,2020-04-03,88,5.1,English
62,Dude,Teen comedy-drama,2018-04-20,97,5.1,English
63,Geez & Ann,Romantic drama,2021-02-25,105,5.1,Indonesian
64,The Larva Island Movie,Animation,2020-07-23,90,5.1,English
65,#REALITYHIGH,Comedy,2017-09-08,99,5.2,English
66,American Factory: A Conversation with the Obamas ,Aftershow / Interview,2019-08-21,10,5.2,English
67,Desperados,Romantic comedy,2020-07-03,106,5.2,English
68,Dolly Parton's Christmas on the Square,Christmas musical,2020-11-22,98,5.2,English
69,Father of the Year,Comedy,2018-07-20,94,5.2,English
70,Firebrand,Drama,2019-02-22,112,5.2,Marathi
71,Ghost Lab,Horror,2021-05-26,117,5.2,Thai
72,Girlfriend's Day,Comedy,2017-02-14,70,5.2,English
73,Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English
74,Hubie Halloween,Comedy,2020-10-07,103,5.2,English
75,Ibiza,Comedy,2018-05-25,94,5.2,English
76,Rim of the World,Science fiction adventure,2019-05-24,98,5.2,English
77,Sandy Wexler,Comedy,2017-04-14,131,5.2,English
78,See You Yesterday,Science fiction,2019-05-17,87,5.2,English
79,Still Laugh-In: The Stars Celebrate,Variety show,2019-05-14,60,5.2,English
80,"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English
81,Tall Girl,Comedy-drama,2019-09-13,102,5.2,English
